POS CM 40365 DORIS MONITOR 
5.749999999999999556e-01 3.986000000000000000e+03 3.986000000000000000e+03 5.644390000000000000e+05 9.281660000000000000e+05
5.799999999999999600e-01 3.343000000000000000e+03 3.343000000000000000e+03 5.644360000000000000e+05 9.282040000000000000e+05
5.849999999999999645e-01 2.691000000000000000e+03 2.691000000000000000e+03 5.644260000000000000e+05 9.282020000000000000e+05
5.899999999999999689e-01 2.237000000000000000e+03 2.237000000000000000e+03 5.644180000000000000e+05 9.281120000000000000e+05
5.949999999999999734e-01 1.975000000000000000e+03 1.975000000000000000e+03 5.643830000000000000e+05 9.280240000000000000e+05
5.999999999999999778e-01 1.571000000000000000e+03 1.571000000000000000e+03 5.643610000000000000e+05 9.281570000000000000e+05
6.049999999999999822e-01 1.346000000000000000e+03 1.346000000000000000e+03 5.643510000000000000e+05 9.281200000000000000e+05
6.099999999999999867e-01 1.115000000000000000e+03 1.115000000000000000e+03 5.643250000000000000e+05 9.281660000000000000e+05
6.149999999999999911e-01 9.780000000000000000e+02 9.780000000000000000e+02 5.643410000000000000e+05 9.282280000000000000e+05
6.199999999999999956e-01 8.520000000000000000e+02 8.520000000000000000e+02 5.643280000000000000e+05 9.281350000000000000e+05
6.250000000000000000e-01 7.660000000000000000e+02 7.660000000000000000e+02 5.642970000000000000e+05 9.281410000000000000e+05
6.300000000000000044e-01 7.180000000000000000e+02 7.180000000000000000e+02 5.642970000000000000e+05 9.281660000000000000e+05
6.350000000000000089e-01 6.800000000000000000e+02 6.800000000000000000e+02 5.642660000000000000e+05 9.281330000000000000e+05
6.400000000000000133e-01 7.310000000000000000e+02 7.310000000000000000e+02 5.642310000000000000e+05 9.280870000000000000e+05
6.450000000000000178e-01 7.250000000000000000e+02 7.250000000000000000e+02 5.642240000000000000e+05 9.280150000000000000e+05
6.500000000000000222e-01 7.430000000000000000e+02 7.430000000000000000e+02 5.642400000000000000e+05 9.281670000000000000e+05
6.550000000000000266e-01 8.330000000000000000e+02 8.330000000000000000e+02 5.642100000000000000e+05 9.281470000000000000e+05
6.600000000000000311e-01 8.230000000000000000e+02 8.230000000000000000e+02 5.641870000000000000e+05 9.280790000000000000e+05
6.650000000000000355e-01 9.510000000000000000e+02 9.510000000000000000e+02 5.641980000000000000e+05 9.281680000000000000e+05
6.700000000000000400e-01 1.020000000000000000e+03 1.020000000000000000e+03 5.641930000000000000e+05 9.280750000000000000e+05
6.750000000000000444e-01 1.081000000000000000e+03 1.081000000000000000e+03 5.641660000000000000e+05 9.280840000000000000e+05
6.800000000000000488e-01 1.131000000000000000e+03 1.131000000000000000e+03 5.641650000000000000e+05 9.281640000000000000e+05
6.850000000000000533e-01 1.127000000000000000e+03 1.127000000000000000e+03 5.641460000000000000e+05 9.280530000000000000e+05
6.899999999999999467e-01 1.253000000000000000e+03 1.253000000000000000e+03 5.641190000000000000e+05 9.279990000000000000e+05
6.949999999999999512e-01 1.289000000000000000e+03 1.289000000000000000e+03 5.640920000000000000e+05 9.280170000000000000e+05
6.999999999999999556e-01 1.350000000000000000e+03 1.350000000000000000e+03 5.640760000000000000e+05 9.280010000000000000e+05
7.049999999999999600e-01 1.448000000000000000e+03 1.448000000000000000e+03 5.640720000000000000e+05 9.279950000000000000e+05
7.099999999999999645e-01 1.298000000000000000e+03 1.298000000000000000e+03 5.640530000000000000e+05 9.280660000000000000e+05
7.149999999999999689e-01 1.490000000000000000e+03 1.490000000000000000e+03 5.640400000000000000e+05 9.279640000000000000e+05
7.199999999999999734e-01 1.482000000000000000e+03 1.482000000000000000e+03 5.640270000000000000e+05 9.279740000000000000e+05
7.249999999999999778e-01 1.439000000000000000e+03 1.439000000000000000e+03 5.640240000000000000e+05 9.279450000000000000e+05
7.299999999999999822e-01 1.448000000000000000e+03 1.448000000000000000e+03 5.639960000000000000e+05 9.278920000000000000e+05
7.349999999999999867e-01 1.497000000000000000e+03 1.497000000000000000e+03 5.639860000000000000e+05 9.276660000000000000e+05
7.399999999999999911e-01 1.432000000000000000e+03 1.432000000000000000e+03 5.639720000000000000e+05 9.276650000000000000e+05
7.449999999999999956e-01 1.450000000000000000e+03 1.450000000000000000e+03 5.639520000000000000e+05 9.278590000000000000e+05
7.500000000000000000e-01 1.429000000000000000e+03 1.429000000000000000e+03 5.639560000000000000e+05 9.277990000000000000e+05
7.550000000000000044e-01 1.357000000000000000e+03 1.357000000000000000e+03 5.639410000000000000e+05 9.277200000000000000e+05
7.600000000000000089e-01 1.320000000000000000e+03 1.320000000000000000e+03 5.639420000000000000e+05 9.276980000000000000e+05
7.650000000000000133e-01 1.252000000000000000e+03 1.252000000000000000e+03 5.639240000000000000e+05 9.276710000000000000e+05
7.700000000000000178e-01 1.229000000000000000e+03 1.229000000000000000e+03 5.639140000000000000e+05 9.276000000000000000e+05
7.750000000000000222e-01 1.157000000000000000e+03 1.157000000000000000e+03 5.638940000000000000e+05 9.275750000000000000e+05
7.800000000000000266e-01 1.102000000000000000e+03 1.102000000000000000e+03 5.638880000000000000e+05 9.273750000000000000e+05
7.850000000000000311e-01 9.790000000000000000e+02 9.790000000000000000e+02 5.638730000000000000e+05 9.273090000000000000e+05
7.900000000000000355e-01 9.110000000000000000e+02 9.110000000000000000e+02 5.638460000000000000e+05 9.273460000000000000e+05
7.950000000000000400e-01 8.920000000000000000e+02 8.920000000000000000e+02 5.638350000000000000e+05 9.273440000000000000e+05
8.000000000000000444e-01 8.380000000000000000e+02 8.380000000000000000e+02 5.638350000000000000e+05 9.273340000000000000e+05
8.050000000000000488e-01 7.980000000000000000e+02 7.980000000000000000e+02 5.638120000000000000e+05 9.272780000000000000e+05
8.100000000000000533e-01 6.990000000000000000e+02 6.990000000000000000e+02 5.637970000000000000e+05 9.273340000000000000e+05
8.149999999999999467e-01 6.590000000000000000e+02 6.590000000000000000e+02 5.637880000000000000e+05 9.273010000000000000e+05
8.199999999999999512e-01 6.280000000000000000e+02 6.280000000000000000e+02 5.637660000000000000e+05 9.272080000000000000e+05
8.249999999999999556e-01 4.930000000000000000e+02 4.930000000000000000e+02 5.637980000000000000e+05 9.272850000000000000e+05
8.299999999999999600e-01 4.340000000000000000e+02 4.340000000000000000e+02 5.637640000000000000e+05 9.272310000000000000e+05
8.349999999999999645e-01 4.000000000000000000e+02 4.000000000000000000e+02 5.637310000000000000e+05 9.271650000000000000e+05
8.399999999999999689e-01 3.780000000000000000e+02 3.780000000000000000e+02 5.637230000000000000e+05 9.271590000000000000e+05
8.449999999999999734e-01 3.340000000000000000e+02 3.340000000000000000e+02 5.637180000000000000e+05 9.271880000000000000e+05
8.499999999999999778e-01 2.540000000000000000e+02 2.540000000000000000e+02 5.637010000000000000e+05 9.271090000000000000e+05
8.549999999999999822e-01 2.630000000000000000e+02 2.630000000000000000e+02 5.636780000000000000e+05 9.270210000000000000e+05
8.599999999999999867e-01 1.950000000000000000e+02 1.950000000000000000e+02 5.636600000000000000e+05 9.268650000000000000e+05
8.649999999999999911e-01 1.950000000000000000e+02 1.950000000000000000e+02 5.636320000000000000e+05 9.269040000000000000e+05
8.699999999999999956e-01 1.790000000000000000e+02 1.790000000000000000e+02 5.636310000000000000e+05 9.269100000000000000e+05
8.750000000000000000e-01 1.560000000000000000e+02 1.560000000000000000e+02 5.635960000000000000e+05 9.269200000000000000e+05
8.800000000000000044e-01 1.530000000000000000e+02 1.530000000000000000e+02 5.635880000000000000e+05 9.269410000000000000e+05
8.850000000000000089e-01 1.300000000000000000e+02 1.300000000000000000e+02 5.635860000000000000e+05 9.277180000000000000e+05
8.900000000000000133e-01 1.230000000000000000e+02 1.230000000000000000e+02 5.635740000000000000e+05 9.268650000000000000e+05
8.950000000000000178e-01 1.120000000000000000e+02 1.120000000000000000e+02 5.635450000000000000e+05 9.265890000000000000e+05
9.000000000000000222e-01 9.600000000000000000e+01 9.600000000000000000e+01 5.635180000000000000e+05 9.267650000000000000e+05
9.050000000000000266e-01 9.600000000000000000e+01 9.600000000000000000e+01 5.635180000000000000e+05 9.267900000000000000e+05
9.100000000000000311e-01 1.040000000000000000e+02 1.040000000000000000e+02 5.635220000000000000e+05 9.267730000000000000e+05
9.150000000000000355e-01 1.110000000000000000e+02 1.110000000000000000e+02 5.635090000000000000e+05 9.266880000000000000e+05
9.200000000000000400e-01 9.000000000000000000e+01 9.000000000000000000e+01 5.635050000000000000e+05 9.266850000000000000e+05
9.250000000000000444e-01 9.700000000000000000e+01 9.700000000000000000e+01 5.634750000000000000e+05 9.267210000000000000e+05
9.300000000000000488e-01 1.100000000000000000e+02 1.100000000000000000e+02 5.634620000000000000e+05 9.266500000000000000e+05
9.350000000000000533e-01 1.060000000000000000e+02 1.060000000000000000e+02 5.634560000000000000e+05 9.266660000000000000e+05
9.399999999999999467e-01 9.000000000000000000e+01 9.000000000000000000e+01 5.634330000000000000e+05 9.265850000000000000e+05
9.449999999999999512e-01 1.160000000000000000e+02 1.160000000000000000e+02 5.634210000000000000e+05 9.264940000000000000e+05
9.499999999999999556e-01 1.160000000000000000e+02 1.160000000000000000e+02 5.633970000000000000e+05 9.265130000000000000e+05
9.549999999999999600e-01 1.130000000000000000e+02 1.130000000000000000e+02 5.633920000000000000e+05 9.265500000000000000e+05
9.599999999999999645e-01 1.250000000000000000e+02 1.250000000000000000e+02 5.633810000000000000e+05 9.265190000000000000e+05
9.649999999999999689e-01 1.330000000000000000e+02 1.330000000000000000e+02 5.633700000000000000e+05 9.265250000000000000e+05
9.699999999999999734e-01 1.290000000000000000e+02 1.290000000000000000e+02 5.633420000000000000e+05 9.265810000000000000e+05
9.749999999999999778e-01 1.140000000000000000e+02 1.140000000000000000e+02 5.633370000000000000e+05 9.265640000000000000e+05
9.799999999999999822e-01 1.260000000000000000e+02 1.260000000000000000e+02 5.633370000000000000e+05 9.265220000000000000e+05
9.849999999999999867e-01 1.360000000000000000e+02 1.360000000000000000e+02 5.633220000000000000e+05 9.264580000000000000e+05
9.899999999999999911e-01 1.200000000000000000e+02 1.200000000000000000e+02 5.633280000000000000e+05 9.265230000000000000e+05
9.949999999999999956e-01 1.480000000000000000e+02 1.480000000000000000e+02 5.633030000000000000e+05 9.265410000000000000e+05
1.000000000000000000e+00 1.280000000000000000e+02 1.280000000000000000e+02 5.632890000000000000e+05 9.265360000000000000e+05
1.004999999999999893e+00 1.340000000000000000e+02 1.340000000000000000e+02 5.632750000000000000e+05 9.264850000000000000e+05
1.010000000000000009e+00 1.160000000000000000e+02 1.160000000000000000e+02 5.632440000000000000e+05 9.265040000000000000e+05
1.014999999999999902e+00 1.090000000000000000e+02 1.090000000000000000e+02 5.632270000000000000e+05 9.263750000000000000e+05
1.020000000000000018e+00 1.200000000000000000e+02 1.200000000000000000e+02 5.632320000000000000e+05 9.261970000000000000e+05
1.024999999999999911e+00 9.500000000000000000e+01 9.500000000000000000e+01 5.632260000000000000e+05 9.262600000000000000e+05
1.030000000000000027e+00 1.120000000000000000e+02 1.120000000000000000e+02 5.631970000000000000e+05 9.262410000000000000e+05
1.034999999999999920e+00 1.040000000000000000e+02 1.040000000000000000e+02 5.631850000000000000e+05 9.261420000000000000e+05
1.040000000000000036e+00 1.130000000000000000e+02 1.130000000000000000e+02 5.631780000000000000e+05 9.261210000000000000e+05
1.044999999999999929e+00 1.140000000000000000e+02 1.140000000000000000e+02 5.631460000000000000e+05 9.260330000000000000e+05
1.050000000000000044e+00 9.900000000000000000e+01 9.900000000000000000e+01 5.631370000000000000e+05 9.260430000000000000e+05
1.054999999999999938e+00 9.800000000000000000e+01 9.800000000000000000e+01 5.631190000000000000e+05 9.260000000000000000e+05
1.060000000000000053e+00 9.300000000000000000e+01 9.300000000000000000e+01 5.631150000000000000e+05 9.260160000000000000e+05
1.064999999999999947e+00 8.000000000000000000e+01 8.000000000000000000e+01 5.630810000000000000e+05 9.260330000000000000e+05
1.070000000000000062e+00 8.500000000000000000e+01 8.500000000000000000e+01 5.630660000000000000e+05 9.259550000000000000e+05
1.074999999999999956e+00 8.700000000000000000e+01 8.700000000000000000e+01 5.630620000000000000e+05 9.259220000000000000e+05
1.080000000000000071e+00 6.600000000000000000e+01 6.600000000000000000e+01 5.630570000000000000e+05 9.260230000000000000e+05
1.084999999999999964e+00 7.000000000000000000e+01 7.000000000000000000e+01 5.630420000000000000e+05 9.260250000000000000e+05
1.090000000000000080e+00 5.500000000000000000e+01 5.500000000000000000e+01 5.630200000000000000e+05 9.259590000000000000e+05
1.094999999999999973e+00 6.100000000000000000e+01 6.100000000000000000e+01 5.630040000000000000e+05 9.259770000000000000e+05
1.100000000000000089e+00 5.400000000000000000e+01 5.400000000000000000e+01 5.629890000000000000e+05 9.258950000000000000e+05
1.104999999999999982e+00 6.700000000000000000e+01 6.700000000000000000e+01 5.630080000000000000e+05 9.261110000000000000e+05
1.110000000000000098e+00 6.000000000000000000e+01 6.000000000000000000e+01 5.629830000000000000e+05 9.258870000000000000e+05
1.114999999999999991e+00 4.400000000000000000e+01 4.400000000000000000e+01 5.629570000000000000e+05 9.258900000000000000e+05
1.120000000000000107e+00 4.600000000000000000e+01 4.600000000000000000e+01 5.629440000000000000e+05 9.258600000000000000e+05
1.125000000000000000e+00 3.400000000000000000e+01 3.400000000000000000e+01 5.629310000000000000e+05 9.259050000000000000e+05
1.129999999999999893e+00 3.800000000000000000e+01 3.800000000000000000e+01 5.629020000000000000e+05 9.257720000000000000e+05
1.135000000000000009e+00 3.500000000000000000e+01 3.500000000000000000e+01 5.628990000000000000e+05 9.258040000000000000e+05
1.139999999999999902e+00 3.100000000000000000e+01 3.100000000000000000e+01 5.628690000000000000e+05 9.258150000000000000e+05
1.145000000000000018e+00 3.100000000000000000e+01 3.100000000000000000e+01 5.628680000000000000e+05 9.259180000000000000e+05
1.149999999999999911e+00 3.500000000000000000e+01 3.500000000000000000e+01 5.628660000000000000e+05 9.258640000000000000e+05
1.155000000000000027e+00 3.800000000000000000e+01 3.800000000000000000e+01 5.628370000000000000e+05 9.257850000000000000e+05
1.159999999999999920e+00 3.800000000000000000e+01 3.800000000000000000e+01 5.628210000000000000e+05 9.257630000000000000e+05
1.165000000000000036e+00 3.100000000000000000e+01 3.100000000000000000e+01 5.628140000000000000e+05 9.257430000000000000e+05
1.169999999999999929e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.627790000000000000e+05 9.257270000000000000e+05
1.175000000000000044e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.627660000000000000e+05 9.256910000000000000e+05
1.179999999999999938e+00 3.300000000000000000e+01 3.300000000000000000e+01 5.627700000000000000e+05 9.257590000000000000e+05
1.185000000000000053e+00 2.200000000000000000e+01 2.200000000000000000e+01 5.627550000000000000e+05 9.258050000000000000e+05
1.189999999999999947e+00 2.900000000000000000e+01 2.900000000000000000e+01 5.627460000000000000e+05 9.258000000000000000e+05
1.195000000000000062e+00 2.500000000000000000e+01 2.500000000000000000e+01 5.627320000000000000e+05 9.256960000000000000e+05
1.199999999999999956e+00 2.300000000000000000e+01 2.300000000000000000e+01 5.627410000000000000e+05 9.255980000000000000e+05
1.205000000000000071e+00 2.300000000000000000e+01 2.300000000000000000e+01 5.627160000000000000e+05 9.256520000000000000e+05
1.209999999999999964e+00 1.900000000000000000e+01 1.900000000000000000e+01 5.627060000000000000e+05 9.255830000000000000e+05
1.215000000000000080e+00 2.700000000000000000e+01 2.700000000000000000e+01 5.627040000000000000e+05 9.255730000000000000e+05
1.219999999999999973e+00 1.600000000000000000e+01 1.600000000000000000e+01 5.626840000000000000e+05 9.255440000000000000e+05
1.225000000000000089e+00 2.500000000000000000e+01 2.500000000000000000e+01 5.626770000000000000e+05 9.256210000000000000e+05
1.229999999999999982e+00 2.400000000000000000e+01 2.400000000000000000e+01 5.626680000000000000e+05 9.255660000000000000e+05
1.235000000000000098e+00 2.000000000000000000e+01 2.000000000000000000e+01 5.626510000000000000e+05 9.255980000000000000e+05
1.239999999999999991e+00 2.000000000000000000e+01 2.000000000000000000e+01 5.626340000000000000e+05 9.256070000000000000e+05
1.245000000000000107e+00 3.200000000000000000e+01 3.200000000000000000e+01 5.626290000000000000e+05 9.256270000000000000e+05
1.250000000000000000e+00 3.300000000000000000e+01 3.300000000000000000e+01 5.625920000000000000e+05 9.255120000000000000e+05
1.254999999999999893e+00 2.400000000000000000e+01 2.400000000000000000e+01 5.625950000000000000e+05 9.254570000000000000e+05
1.260000000000000009e+00 1.800000000000000000e+01 1.800000000000000000e+01 5.625880000000000000e+05 9.254290000000000000e+05
1.264999999999999902e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.625870000000000000e+05 9.254500000000000000e+05
1.270000000000000018e+00 2.500000000000000000e+01 2.500000000000000000e+01 5.626000000000000000e+05 9.252840000000000000e+05
1.274999999999999911e+00 2.200000000000000000e+01 2.200000000000000000e+01 5.625730000000000000e+05 9.253580000000000000e+05
1.280000000000000027e+00 2.200000000000000000e+01 2.200000000000000000e+01 5.625720000000000000e+05 9.253470000000000000e+05
1.284999999999999920e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.625440000000000000e+05 9.253310000000000000e+05
1.290000000000000036e+00 2.000000000000000000e+01 2.000000000000000000e+01 5.625260000000000000e+05 9.253720000000000000e+05
1.294999999999999929e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.625100000000000000e+05 9.253160000000000000e+05
1.300000000000000044e+00 2.000000000000000000e+01 2.000000000000000000e+01 5.625150000000000000e+05 9.252830000000000000e+05
1.304999999999999938e+00 1.000000000000000000e+01 1.000000000000000000e+01 5.625000000000000000e+05 9.252710000000000000e+05
1.310000000000000053e+00 2.400000000000000000e+01 2.400000000000000000e+01 5.624820000000000000e+05 9.252340000000000000e+05
1.314999999999999947e+00 2.700000000000000000e+01 2.700000000000000000e+01 5.624850000000000000e+05 9.253260000000000000e+05
1.320000000000000062e+00 2.400000000000000000e+01 2.400000000000000000e+01 5.624630000000000000e+05 9.252620000000000000e+05
1.324999999999999956e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.624650000000000000e+05 9.252800000000000000e+05
1.330000000000000071e+00 2.300000000000000000e+01 2.300000000000000000e+01 5.624590000000000000e+05 9.252440000000000000e+05
1.334999999999999964e+00 2.500000000000000000e+01 2.500000000000000000e+01 5.624380000000000000e+05 9.251470000000000000e+05
1.340000000000000080e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.624580000000000000e+05 9.252080000000000000e+05
1.344999999999999973e+00 1.800000000000000000e+01 1.800000000000000000e+01 5.624380000000000000e+05 9.251960000000000000e+05
1.350000000000000089e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.624190000000000000e+05 9.251300000000000000e+05
1.354999999999999982e+00 1.800000000000000000e+01 1.800000000000000000e+01 5.623850000000000000e+05 9.249810000000000000e+05
1.360000000000000098e+00 1.200000000000000000e+01 1.200000000000000000e+01 5.623850000000000000e+05 9.250150000000000000e+05
1.364999999999999991e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.623570000000000000e+05 9.249560000000000000e+05
1.370000000000000107e+00 2.800000000000000000e+01 2.800000000000000000e+01 5.623360000000000000e+05 9.249320000000000000e+05
1.375000000000000000e+00 2.700000000000000000e+01 2.700000000000000000e+01 5.623160000000000000e+05 9.249330000000000000e+05
1.379999999999999893e+00 2.300000000000000000e+01 2.300000000000000000e+01 5.623050000000000000e+05 9.249590000000000000e+05
1.385000000000000009e+00 1.300000000000000000e+01 1.300000000000000000e+01 5.622810000000000000e+05 9.249010000000000000e+05
1.389999999999999902e+00 1.800000000000000000e+01 1.800000000000000000e+01 5.622780000000000000e+05 9.248800000000000000e+05
1.395000000000000018e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.622680000000000000e+05 9.248750000000000000e+05
1.399999999999999911e+00 1.700000000000000000e+01 1.700000000000000000e+01 5.622580000000000000e+05 9.248140000000000000e+05
1.405000000000000027e+00 2.300000000000000000e+01 2.300000000000000000e+01 5.622640000000000000e+05 9.247950000000000000e+05
1.409999999999999920e+00 1.400000000000000000e+01 1.400000000000000000e+01 5.622320000000000000e+05 9.247440000000000000e+05
1.415000000000000036e+00 1.600000000000000000e+01 1.600000000000000000e+01 5.622200000000000000e+05 9.247030000000000000e+05
1.419999999999999929e+00 1.600000000000000000e+01 1.600000000000000000e+01 5.622150000000000000e+05 9.247670000000000000e+05
1.425000000000000044e+00 2.100000000000000000e+01 2.100000000000000000e+01 5.621980000000000000e+05 9.247690000000000000e+05
1.429999999999999938e+00 1.200000000000000000e+01 1.200000000000000000e+01 5.621930000000000000e+05 9.248350000000000000e+05
1.435000000000000053e+00 1.500000000000000000e+01 1.500000000000000000e+01 5.621730000000000000e+05 9.248050000000000000e+05
1.439999999999999947e+00 2.200000000000000000e+01 2.200000000000000000e+01 5.621600000000000000e+05 9.247520000000000000e+05
1.445000000000000062e+00 1.300000000000000000e+01 1.300000000000000000e+01 5.621360000000000000e+05 9.247540000000000000e+05
1.449999999999999956e+00 1.300000000000000000e+01 1.300000000000000000e+01 5.621350000000000000e+05 9.247390000000000000e+05
1.455000000000000071e+00 1.100000000000000000e+01 1.100000000000000000e+01 5.621220000000000000e+05 9.246090000000000000e+05
